,||J|| median,r_safe(0.10),r_safe(0.50),obs_err_rms,budget_px,obs < r_safe(0.10),budget < r_safe(0.10)
knee_outer,0.026930732340825825,169.95624819678739,300.7131172822503,18.74135185771273,24.709491930425948,True,True
femur_head,0.019432377471192055,169.95624819678739,300.7131172822503,22.25884568851341,34.24412244166209,True,True
knee_inner,0.016158439404495493,226.07094726402102,400.0,17.154316283480053,41.18248655070991,True,True
ankle_inner,0.011423684948319315,226.07094726402102,400.0,16.938325692968505,58.25131877030615,True,True
ankle_outer,0.011423684948319315,226.07094726402102,400.0,22.302612415246458,58.25131877030615,True,True
ost_point,0.002539246849239583,169.95624819678739,400.0,22.96645618368638,262.0638137861132,True,False
