,log_log_slope,c_deg_per_px2,c (1e-5 deg/px^2)
Lateral tibial plateau,1.999918649587896,1.7711811077779301e-06,0.17711811077779302
Femoral head centre,2.0002466494125724,2.052313406057754e-06,0.20523134060577541
Medial tibial plateau,2.000006794249636,6.375249587265725e-07,0.06375249587265726
Medial malleolus,2.0001463463686857,7.647956028797403e-07,0.07647956028797402
Lateral malleolus,2.0001463463686857,7.647956028797403e-07,0.07647956028797402
Osteotomy hinge,1.9996114548377801,5.537866955587361e-07,0.05537866955587361
