train_loss,val_loss,val_mse,pck@0.005,pck@0.01,pck@0.05
0.03812322147529234,0.002357983418429891,179788.84375,0.0,0.0,0.0
0.0035406828180632806,0.0015475038283814986,124254.984375,0.0,0.0,0.0
0.0017342020926827734,0.0012157959087441366,132234.71875,0.0,0.0,0.0
0.0012488068631765518,0.0009847459538529317,112238.03125,0.0,0.0,0.0
0.00111939269118011,0.0009647728487228354,95586.1171875,0.0,0.0,0.007575757801532745
0.0010248969192616642,0.0009266385071290036,110769.046875,0.0,0.0,0.0
0.0009824940088120375,0.000883348441372315,98793.4140625,0.0,0.0,0.01515151560306549
0.000940930770329115,0.0008759317764391502,107138.03125,0.0,0.0,0.007575757801532745
0.0009186476712453772,0.0008525946565593282,106622.453125,0.0,0.0,0.007575757801532745
0.0008795780224979601,0.0008380807703360915,105263.1640625,0.0,0.0,0.0
0.0008741111801513894,0.0008307545989130934,105814.7109375,0.0,0.0,0.0
0.0008600068553774195,0.0008222859275216857,108400.1328125,0.0,0.0,0.007575757801532745
0.0008440545590763742,0.0008188563515432179,109749.8984375,0.0,0.0,0.0
0.0008418676231733778,0.0008138230380912622,109469.453125,0.0,0.0,0.0
0.0008334899903275073,0.0008034495986066759,113166.625,0.0,0.0,0.007575757801532745
0.0008270161871967667,0.0008017781656235456,115772.515625,0.0,0.0,0.007575757801532745
0.0008213882048783654,0.0007951305597089231,102883.578125,0.0,0.0,0.01515151560306549
0.000813003465406258,0.000807309775458028,103242.3828125,0.0,0.0,0.007575757801532745
0.0008200488783503798,0.0008265394135378301,106192.6328125,0.0,0.0,0.007575757801532745
0.0008127550404010849,0.0007903914277752241,114487.2421875,0.0,0.0,0.0
0.0008073681912554258,0.0007862057148789366,110577.8125,0.0,0.0,0.007575757801532745
0.0007993432915430855,0.0007829407889706393,109996.6015625,0.0,0.0,0.007575757801532745
0.0008022702637721192,0.0007900692095669607,103780.90625,0.0,0.0,0.01515151560306549
0.0007986702204851264,0.0007811715671171745,103867.390625,0.0,0.0,0.007575757801532745
0.0007902730827812444,0.0007773603041035434,110506.796875,0.0,0.0,0.007575757801532745
0.0007830518509515307,0.0007840987333717445,103408.6015625,0.0,0.0,0.007575757801532745
0.0007928365375846624,0.0007718188183692595,105420.7265625,0.0,0.0,0.007575757801532745
0.0007856259154240516,0.0007732825470156968,104728.625,0.0,0.0,0.007575757801532745
0.0007819865555079145,0.0007678525483546158,113191.8828125,0.0,0.0,0.01515151560306549
0.0007824840087612921,0.0007644571208705505,113400.671875,0.0,0.0,0.022727273404598236
0.0007775675198486583,0.0007682951012005409,101486.453125,0.0,0.0,0.01515151560306549
0.00077206398550929,0.0007704704573067526,101858.8046875,0.0,0.0,0.01515151560306549
0.0007721961380659857,0.000760392053052783,106978.0,0.0,0.0,0.022727273404598236
0.0007788039299405434,0.0007694089241946737,115459.890625,0.0,0.0,0.01515151560306549
0.0007715210826559501,0.0007585237617604434,112642.765625,0.0,0.0,0.01515151560306549
0.0007730086111802269,0.0007624916615895927,123414.375,0.0,0.0,0.007575757801532745
0.0007735140970908105,0.0007641794703279933,112883.828125,0.0,0.0,0.007575757801532745
0.0007667955624955622,0.0007578795775771141,114205.953125,0.0,0.0,0.01515151560306549
0.0007647586753591895,0.0007681080411809186,111607.4921875,0.0,0.0,0.01515151560306549
0.0007705259327353401,0.0007729623660755655,118070.625,0.0,0.0,0.01515151560306549
0.0007670367327095432,0.0007554743788205087,115416.328125,0.0,0.0,0.03030303120613098
0.0008329294823025438,0.00123108869108061,125192.234375,0.0,0.0,0.022727273404598236
0.0008037547231651843,0.0008134810098757347,102639.859375,0.0,0.0,0.01515151560306549
0.0007881572343070399,0.0007769043440930545,113258.453125,0.0,0.0,0.01515151560306549
0.0007795249958607284,0.0007674795924685895,107811.875,0.0,0.0,0.022727273404598236
0.000775946690489284,0.0007629819835225741,106019.0234375,0.007575757801532745,0.007575757801532745,0.03787878900766373
0.0007698934218338268,0.0007588071942639848,104010.484375,0.007575757801532745,0.007575757801532745,0.04545454680919647
0.0007654986852271991,0.000760905968490988,113205.8515625,0.007575757801532745,0.007575757801532745,0.022727273404598236
0.0007670712657272816,0.0007558141563398143,111018.5703125,0.0,0.0,0.03030303120613098
0.0007658834801986814,0.0007609374976406494,115831.921875,0.0,0.0,0.022727273404598236
0.0007684338753196326,0.0007555475070451697,113393.4921875,0.0,0.0,0.01515151560306549
0.0007646939960647036,0.0007536480358491341,110323.375,0.0,0.0,0.03030303120613098
0.0007590697602030228,0.0007509367618088921,101430.7890625,0.007575757801532745,0.007575757801532745,0.06060606241226196
0.0007595739073374054,0.0007514645500729481,92826.921875,0.007575757801532745,0.007575757801532745,0.07575757801532745
0.0007583846930753101,0.0007513907815640172,109993.1328125,0.007575757801532745,0.007575757801532745,0.05303030461072922
0.0007533727541819892,0.0007444150202597181,104380.40625,0.0,0.0,0.0833333358168602
0.0007459749943915416,0.0007379180169664323,96655.109375,0.007575757801532745,0.007575757801532745,0.07575757801532745
0.000741929191545668,0.0007459241120765606,96076.46875,0.007575757801532745,0.03030303120613098,0.12878787517547607
0.0007348756242374128,0.0007290014570268492,83930.8046875,0.022727273404598236,0.03787878900766373,0.17424242198467255
0.0007227512700906532,0.0007230158080346882,84120.6484375,0.01515151560306549,0.05303030461072922,0.1515151560306549
0.0007156453211791813,0.00077461899491027,81448.140625,0.0,0.022727273404598236,0.19696970283985138
0.0007095704892311584,0.0007041969220153987,81389.8359375,0.01515151560306549,0.03030303120613098,0.18939393758773804
0.0006959806355139749,0.0006925263054048022,86966.171875,0.0,0.03787878900766373,0.20454545319080353
0.0006887784905054352,0.0006803981765794257,78812.3125,0.0,0.022727273404598236,0.19696970283985138
0.0006856958392414857,0.0006817653969240686,79861.4296875,0.007575757801532745,0.03030303120613098,0.19696970283985138
0.0006827142153104597,0.0007124936867815753,85220.6484375,0.03030303120613098,0.03787878900766373,0.17424242198467255
0.0006749596425586126,0.0006988817088616391,80790.5859375,0.0,0.05303030461072922,0.17424242198467255
0.0006703484528274698,0.000676729231296728,83598.375,0.01515151560306549,0.05303030461072922,0.18939393758773804
0.0006705894272520461,0.0007028298762937387,77696.2734375,0.0,0.0833333358168602,0.20454545319080353
0.0006732014166614549,0.0006647892102288703,79341.9921875,0.007575757801532745,0.06818182021379471,0.18939393758773804
0.0006744097177447243,0.0007032846721510092,81489.90625,0.007575757801532745,0.11363636702299118,0.21212121844291687
0.0006573587518439374,0.0006882757685768107,75598.71875,0.022727273404598236,0.10606060922145844,0.25757575035095215
0.0006560086304406551,0.0006863848733094832,64074.796875,0.022727273404598236,0.1515151560306549,0.28787878155708313
0.0006544295730153946,0.0006749516081375381,84270.3125,0.01515151560306549,0.12121212482452393,0.19696970283985138
0.0006355505161495371,0.0006677892718774577,54379.4453125,0.06818182021379471,0.25,0.3181818127632141
0.0006253133337436752,0.0006057718807520965,56607.79296875,0.07575757801532745,0.280303031206131,0.34090909361839294
0.0006040754590437493,0.0006570950499735773,46921.0234375,0.04545454680919647,0.24242424964904785,0.34090909361839294
0.0005955442743883891,0.0007260850785921017,59450.69140625,0.11363636702299118,0.2348484843969345,0.3181818127632141
0.0005676703559319404,0.0005554903958303233,43088.2578125,0.09090909361839294,0.27272728085517883,0.3333333432674408
0.0005525594619526105,0.0006801263274004062,67619.1875,0.04545454680919647,0.21969696879386902,0.31060606241226196
0.0005443032449957999,0.00056769351552551,44132.91796875,0.11363636702299118,0.31060606241226196,0.3636363744735718
0.0005310693311251023,0.0007308161972711483,43416.24609375,0.12121212482452393,0.280303031206131,0.34090909361839294
0.0005295660812407732,0.000613048110002031,49852.49609375,0.0833333358168602,0.25757575035095215,0.3030303120613098
0.0005280510469509119,0.0007633807836100459,64645.5546875,0.11363636702299118,0.3181818127632141,0.5075757503509521
0.0005228550871834159,0.0005583668050045768,55587.0546875,0.1666666716337204,0.4166666567325592,0.47727271914482117
0.0005216726752802391,0.0007189311048326393,78881.515625,0.05303030461072922,0.1818181872367859,0.2954545319080353
0.0005701511399820447,0.0006708902268049618,82515.09375,0.12121212482452393,0.25757575035095215,0.3863636255264282
0.0005423958381553265,0.0009095915593206882,80032.7890625,0.06818182021379471,0.10606060922145844,0.19696970283985138
0.0005018760460767556,0.001047665486112237,61448.13671875,0.14393939077854156,0.3863636255264282,0.5
0.0004910483972211791,0.0006076045683585107,67087.3046875,0.1515151560306549,0.4015151560306549,0.5075757503509521
0.00046374532394111156,0.0005356606561690569,59932.91796875,0.15909090638160706,0.4015151560306549,0.5303030014038086
0.00045317992970178074,0.00044757646780150634,47648.3515625,0.19696970283985138,0.4166666567325592,0.560606062412262
0.00044352407249706715,0.0004291268123779446,40143.765625,0.2348484843969345,0.46212121844291687,0.5833333134651184
0.00043805255501700395,0.00046177359763532877,44908.4375,0.25,0.5303030014038086,0.5909090638160706
0.00042139314675957644,0.0005901642143726349,48290.04296875,0.2348484843969345,0.4848484992980957,0.5909090638160706
