train_loss,val_loss,val_mse,val_angle,pck@0.005,pck@0.01,pck@0.05
0.0043264549371955265,0.006288457194109174,21313.2421875,10.993007310863803,0.7175572514533997,0.8702290058135986,0.8702290058135986
0.0037150439078908843,0.006149593452359557,14219.1044921875,3.893773188453472,0.8015267252922058,0.9389312863349915,0.9389312863349915
0.0026925342566568016,0.0022683025043603107,7084.35595703125,2.2232349808185194,0.847328245639801,0.9541984796524048,0.9541984796524048
0.0025991156393162683,0.004677060395334572,14209.3330078125,11.86871903721657,0.8244274854660034,0.9007633328437805,0.9007633328437805
0.002192348942845515,0.002208111411582212,28738.896484375,10.874001288247433,0.7480915784835815,0.847328245639801,0.847328245639801
0.001738442140646943,0.001580074596725299,33126.32421875,6.11743000912933,0.7404580116271973,0.8244274854660034,0.8320610523223877
0.0018229547886228436,0.0029813240791244284,36679.0234375,16.27815187164254,0.7022900581359863,0.8167939186096191,0.8167939186096191
0.0017024717745825263,0.0025010299242641467,1971.5167236328125,1.6788210955743668,0.8625954389572144,0.9847328066825867,0.9847328066825867
0.001529319240036671,0.0016200722303742598,7.210668087005615,0.6505216923880524,0.885496199131012,1.0,1.0
0.0014387885300034473,0.0014255319785943076,6.775970935821533,0.5481837271854646,0.885496199131012,0.9923664331436157,1.0
0.001080654743425045,0.001453849128732397,6.5651021003723145,0.6105978657425892,0.8931297659873962,0.9923664331436157,1.0
0.0012904035041450045,0.003101881985421776,7.051647663116455,0.6225442854066943,0.885496199131012,0.9923664331436157,1.0
0.0016939018302735852,0.0033288266134685936,6575.83642578125,1.8378482219725918,0.8167939186096191,0.9465649127960205,0.9541984796524048
0.0012725654283602976,0.0023099134654114744,6563.19970703125,1.9548271685542757,0.7938931584358215,0.9389312863349915,0.9541984796524048
0.0011993184484136589,0.0016866550129576603,5707.26318359375,1.643777710747303,0.8702290058135986,0.9618320465087891,0.9618320465087891
0.001251463729157782,0.0017088376650242763,13168.482421875,4.501644038483813,0.847328245639801,0.9618320465087891,0.9618320465087891
0.001684716000920438,0.0014425680808965284,10732.9404296875,6.764458520581084,0.885496199131012,0.9465649127960205,0.9465649127960205
0.0011825711557323466,0.0012985077612838998,10365.53515625,6.890653536958852,0.8549618124961853,0.9465649127960205,0.9465649127960205
0.0011183395661102462,0.0012563301958527595,9623.529296875,2.533188269912341,0.8396946787834167,0.9312977194786072,0.9312977194786072
0.0010074778794628629,0.002315379880513783,15005.46875,6.319268444521715,0.7633587718009949,0.8931297659873962,0.8931297659873962
0.0012639954014487767,0.0017307995719909942,5706.94775390625,1.6673912618608995,0.8396946787834167,0.9618320465087891,0.9618320465087891
0.0010895449075278292,0.0012063118118921894,3820.055419921875,1.3927199600765139,0.885496199131012,0.9847328066825867,0.9923664331436157
0.0009309767688648294,0.001549939003251128,967.791259765625,0.9734746995908831,0.9083969593048096,0.9923664331436157,0.9923664331436157
0.0012415997798753515,0.0015952549168949722,6.932259559631348,0.6561781975893987,0.8778625726699829,0.9923664331436157,1.0
0.0009003057866369724,0.0012616300780963917,969.2752075195312,1.0536671743776258,0.885496199131012,0.9847328066825867,0.9923664331436157
0.0008499328509095017,0.00547785243141764,7.8388447761535645,0.8135246166064173,0.8625954389572144,0.9923664331436157,1.0
0.000664396482937208,0.005104658973451058,8.077634811401367,0.8974626725881405,0.8702290058135986,0.9847328066825867,1.0
