landmark,||J||,delta_err_px,ci_lo,ci_hi,predicted,observed,agrees
knee_outer,0.026930732207406015,-1.4554817095538561,-3.2372085444349348,0.2186542703554902,improve,improve,True
femur_head,0.019432377278749576,1.191686504199825,-0.9923332158126709,3.357034209616519,improve,worsen,False
knee_inner,0.016158439324443608,1.0959971524474754,-0.7120999834951137,2.9333071736455816,improve,worsen,False
ankle_inner,0.011423685755330641,0.5027119336170418,-1.1558131040931676,2.142943532840849,worsen,worsen,True
ankle_outer,0.011423685755330641,0.30054378509533586,-1.0351383665235763,1.6096434579884509,worsen,worsen,True
ost_point,0.002539246366594032,0.2768469522666591,-1.8287099574540147,2.4102506398410433,worsen,worsen,True
