case_id,side,actual_dm,pred_dm,abs_err_deg,alpha_gt
49_0,left,0.6119301142037425,0.6075085205819717,-0.6119301142037425,9.662141085342668
49_0,right,0.3056577968037901,0.3044958137949883,0.3056577968037901,6.935917825664529
6_0,left,0.3565662229019857,0.3455105557940099,-0.3565662229019857,4.425304429801812
6_0,right,1.7463331466174106,1.741464330293077,1.7463331466174106,6.806427557056879
48_0,left,0.568918810952769,0.5685977352570569,-0.568918810952769,6.440773389490723
48_0,right,-0.2123311081190309,-0.21221483316474643,-0.2123311081190309,5.9528206437284075
70_0,left,0.12387276987653895,0.12219615148353774,0.12387276987653895,4.061052673311863
70_0,right,0.7471369567862811,0.7406517436053688,-0.7471369567862811,2.153575613800587
67_0,left,0.6092200851348331,0.6081195731894568,-0.6092200851348331,24.81975012622058
67_0,right,0.7078355681838895,0.7098921952938821,0.7078355681838895,4.127767133112025
9_0,left,-1.3059001747889774,-1.295584978640968,1.3059001747889774,14.453044611568382
9_0,right,-0.14860600704523463,-0.1483394923764031,-0.14860600704523463,9.796741051314894
26_0,left,-0.15639837130127088,-0.156568700051808,0.15639837130127088,6.632115023107123
26_0,right,1.519188684250873,1.546407891691121,1.519188684250873,0.5713142609381333
63_0,left,-0.1899246937477832,-0.1905439434031741,0.1899246937477832,7.006894964352403
63_0,right,0.13963969196066417,0.13853585663729423,-0.13963969196066417,2.696916594962629
30_0,left,-0.14551093920514901,-0.143269939737003,0.14551093920514901,7.3678039692899056
30_0,right,-0.14490139713256234,-0.14550022017509526,-0.14490139713256234,7.986763271207537
32_0,left,0.39779814930987634,0.3989193782487904,-0.39779814930987634,10.55316720684807
32_0,right,-0.4419567406560194,-0.44597017915800863,-0.4419567406560194,9.339190422800327
20_0,left,0.18328376343605157,0.18158060340158988,-0.18328376343605157,7.533154004502577
20_0,right,-0.8522996780586034,-0.8502358939724957,-0.8522996780586034,11.635063027723099
34_0,left,-0.05187274562591426,-0.049132537040773125,0.05187274562591426,9.629366608854484
34_0,right,-0.6319083510490788,-0.6325542452741099,-0.6319083510490788,9.682012974950668
31_0,left,-0.22617668327719365,-0.2282396641377646,0.22617668327719365,7.564960330674568
31_0,right,0.3552087827641106,0.35759489380626125,0.3552087827641106,8.15738118802255
47_0,left,-0.010759726373738232,-0.01707543061530753,0.010759726373738232,8.975525286631186
47_0,right,-1.002278970987291,-0.9992970593500388,-1.002278970987291,10.996339385001022
15_0,left,0.5193645065552115,0.5122742460553543,0.5193645065552115,4.806171182253677
15_0,right,0.22545044703861095,0.22285727762638102,0.22545044703861095,5.635465851768154
40_0,left,0.29813062757957276,0.29657862277127967,-0.29813062757957276,4.317712472178059
41_0,left,0.1596357802477687,0.16025755100671457,0.1596357802477687,0.7234129407711409
41_0,right,0.1465641721356694,0.14605237760699352,0.1465641721356694,2.522313672738593
57_0,left,0.21638907318382072,0.2181549325821543,-0.21638907318382072,2.0559965956830393
57_0,right,0.8331845582019834,0.822308359091041,0.8331845582019834,2.841864438971499
50_0,left,0.18317103211769492,0.1835994603196894,-0.18317103211769492,7.52537021898576
50_0,right,0.09219280892671744,0.09431817344579917,0.09219280892671744,4.85691737753268
62_0,left,1.372091881586722,1.3756914586082298,-1.372091881586722,7.357514493197946
62_0,right,-1.2068069261958492,-1.2085166522774824,-1.2068069261958492,16.447518764285245
19_0,left,-0.7156661589462967,-0.7142458895935883,0.7156661589462967,15.159612075328537
19_0,right,-0.0954350369741217,-0.09408989027490257,-0.0954350369741217,15.9940630262048
69_0,left,-1.0872219649199097,-1.0802934925773149,1.0872219649199097,6.0394974641568835
69_0,right,0.38207665646064015,0.3813754754699291,0.38207665646064015,9.10478508923589
58_0,left,0.13683110181879687,0.136489416030912,-0.13683110181879687,4.587130884358643
58_0,right,0.5704206235295239,0.5682375014009297,0.5704206235295239,2.1111147388890967
23_0,left,-0.036303786460637255,-0.037395477332393734,0.036303786460637255,9.92024174170967
23_0,right,0.19352447942481987,0.1939727874168164,0.19352447942481987,8.700450647474833
39_0,left,-0.9784711791212448,-0.9707280223794904,0.9784711791212448,7.169596430987644
39_0,right,0.04465410044959128,0.04426448158865502,0.04465410044959128,11.89581907443436
35_0,left,-0.5640178053399008,-0.5637844235922711,0.5640178053399008,3.480725756929742
35_0,right,-0.25378675853620436,-0.25590889789948523,-0.25378675853620436,5.214547815934736
11_0,left,-0.2834285265503693,-0.2867683021169832,0.2834285265503693,6.989918053346087
11_0,right,-0.49350801985061654,-0.49025373480874823,-0.49350801985061654,8.07073034990135
