,||J|| median,||J|| q95,budget_px (typical),budget_px (worst)
Lateral tibial plateau,0.026930732340825825,0.028731903909062474,24.709491930425948,23.160480960894677
Femoral head centre,0.019432377471192055,0.020888097746117825,34.24412244166209,31.857602427189594
Medial tibial plateau,0.016158439404495493,0.017239142345437483,41.18248655070991,38.60080160149113
Medial malleolus,0.011423684948319315,0.012661617494368746,58.25131877030615,52.55605879359831
Lateral malleolus,0.011423684948319315,0.012661617494368746,58.25131877030615,52.55605879359831
Osteotomy hinge,0.002539246849239583,0.006029320782576319,262.0638137861132,110.36810570423046
