,mean,sd,median,q05,q95,share_%,x_vs_ost_point_median,x_vs_ost_point_iqr
Lateral tibial plateau,0.026314660093098765,0.0019758279592191285,0.026930732340825825,0.023102514231719735,0.028731903909062474,30.4055694210413,10.00472761045107,12.718373207112183
Femoral head centre,0.018881296182234542,0.0013955558879942117,0.019432377471192055,0.01670053837628333,0.020888097746117825,21.824774500968065,7.122380059380839,9.094245805513323
Medial tibial plateau,0.01578879605585926,0.001185496775531477,0.016158439404495493,0.013861508539031842,0.017239142345437483,18.24334165262478,6.002836566270642,7.631023924267311
Medial malleolus,0.011392211448766155,0.0009007336378471379,0.011423684948319315,0.009888095597549641,0.012661617494368746,13.163752294205178,4.362819461452822,5.667499878784416
Lateral malleolus,0.011392211448766155,0.0009007336378471379,0.011423684948319315,0.009888095597549641,0.012661617494368746,13.163752294205178,4.362819461452822,5.667499878784416
Osteotomy hinge,0.0028177555039952716,0.0018695004700921035,0.002539246849239583,0.0003998977721632382,0.006029320782576319,3.1988098369555074,1.0,0.0
