case_id,side,hemisphere,landmark,alpha_deg,alpha_signed_deg,Jx,Jy,J_norm,J_share
49_0,left,0,femur_head,9.662141085342668,-9.662141085342668,-0.01780720741544821,-0.000632011655088152,0.017818419533419932,0.2184718533039913
49_0,left,0,knee_inner,9.662141085342668,-9.662141085342668,0.014714634269705339,0.0005222503530084948,0.014723899182023907,0.18052990256091947
49_0,left,0,ost_point,9.662141085342668,-9.662141085342668,-0.0007363986405171732,-0.003522178952383114,0.003598336772783525,0.044119249863179916
49_0,left,0,knee_outer,9.662141085342668,-9.662141085342668,0.024524390449508902,0.0008704172550141581,0.02453983197003985,0.30088317093486583
49_0,left,0,ankle_inner,9.662141085342668,-9.662141085342668,-0.01034770933162443,0.0013807614997243067,0.010439424827590273,0.12799791166852173
49_0,left,0,ankle_outer,9.662141085342668,-9.662141085342668,-0.01034770933162443,0.0013807614997243067,0.010439424827590273,0.12799791166852173
49_0,right,1,femur_head,6.935917825664529,6.935917825664529,-0.01773052378200169,0.0005121543443607126,0.017737919146748164,0.22251218545318538
49_0,right,1,knee_inner,6.935917825664529,6.935917825664529,0.014529793031369542,-0.0004196997626901357,0.014535853377949196,0.1823440774419978
49_0,right,1,ost_point,6.935917825664529,6.935917825664529,-0.00042555072735923904,0.002503334004845772,0.002539246849239583,0.03185341872149625
49_0,right,1,knee_outer,6.935917825664529,6.935917825664529,0.024216321718949236,-0.0006994996044835596,0.024226422296581993,0.303906795736663
49_0,right,1,ankle_inner,6.935917825664529,6.935917825664529,-0.010295020120478924,-0.0009481444910163947,0.010338588745902925,0.12969176132332882
49_0,right,1,ankle_outer,6.935917825664529,6.935917825664529,-0.010295020120478924,-0.0009481444910163947,0.010338588745902925,0.12969176132332882
6_0,left,2,femur_head,4.425304429801812,-4.425304429801812,-0.02041755608489347,0.0006599312934188344,0.020428218370474795,0.21850478732255765
6_0,left,2,knee_inner,4.425304429801812,-4.425304429801812,0.017183440308497416,-0.000555398988058232,0.017192413701154062,0.18389389770581263
6_0,left,2,ost_point,4.425304429801812,-4.425304429801812,-0.0003032303149237761,-0.0019396429464428027,0.001963202328741001,0.02099885068453633
6_0,left,2,knee_outer,4.425304429801812,-4.425304429801812,0.028639067180829023,-0.0009256649800970534,0.028654022835256764,0.3064898295096877
6_0,left,2,ankle_inner,4.425304429801812,-4.425304429801812,-0.012550860544754596,0.001380387810589627,0.012626542318524975,0.13505631738870283
6_0,left,2,ankle_outer,4.425304429801812,-4.425304429801812,-0.012550860544754596,0.001380387810589627,0.012626542318524975,0.13505631738870283
6_0,right,3,femur_head,6.806427557056879,6.806427557056879,-0.02087539802111096,0.0009124137038087274,0.02089532821725233,0.2189620698416145
6_0,right,3,knee_inner,6.806427557056879,6.806427557056879,0.017406048584975017,-0.0007607767402581251,0.017422666517816054,0.18257206028242257
6_0,right,3,ost_point,6.806427557056879,6.806427557056879,-0.0005673721618604452,0.002977046984141306,0.0030306302835943284,0.03175796392959238
6_0,right,3,knee_outer,6.806427557056879,6.806427557056879,0.02901008097495836,-0.0012679612337635417,0.029037777529693422,0.30428676713737096
6_0,right,3,ankle_inner,6.806427557056879,6.806427557056879,-0.012486679688480986,-0.0009303613569641832,0.012521291542698616,0.13121056940449988
6_0,right,3,ankle_outer,6.806427557056879,6.806427557056879,-0.012486679688480986,-0.0009303613569641832,0.012521291542698616,0.13121056940449988
48_0,left,4,femur_head,6.440773389490723,-6.440773389490723,-0.01944575619621015,0.0001942219417498071,0.019446726105056926,0.21676152503078452
48_0,left,4,knee_inner,6.440773389490723,-6.440773389490723,0.01639076876287345,-0.0001637090840683171,0.016391586296090884,0.18270763027255418
48_0,left,4,ost_point,6.440773389490723,-6.440773389490723,-0.0006138999559901076,-0.0026607371627678238,0.0027306401090767024,0.030436882339787606
48_0,left,4,knee_outer,6.440773389490723,-6.440773389490723,0.027317947938122412,-0.0002728484734471951,0.027319310493484808,0.30451271712092365
48_0,left,4,ankle_inner,6.440773389490723,-6.440773389490723,-0.011824530274397801,0.0014515363892667645,0.011913289810103493,0.13279062261797508
48_0,left,4,ankle_outer,6.440773389490723,-6.440773389490723,-0.011824530274397801,0.0014515363892667645,0.011913289810103493,0.13279062261797508
48_0,right,5,femur_head,5.9528206437284075,5.9528206437284075,-0.01960622343798967,0.0003746478508710394,0.019609802612788784,0.22191099729617128
48_0,right,5,knee_inner,5.9528206437284075,5.9528206437284075,0.01616656298537901,-0.0003089206902899895,0.016169514239862494,0.1829795588264842
48_0,right,5,ost_point,5.9528206437284075,5.9528206437284075,-0.0003876805700286298,0.002408541777038417,0.0024395429318044594,0.027606672827522362
48_0,right,5,knee_outer,5.9528206437284075,5.9528206437284075,0.026944271642298345,-0.0005148678171499825,0.02694919039977082,0.30496593137747363
48_0,right,5,ankle_inner,5.9528206437284075,5.9528206437284075,-0.011558465309829527,-0.000979700560234742,0.011599910926651845,0.13126841983617427
48_0,right,5,ankle_outer,5.9528206437284075,5.9528206437284075,-0.011558465309829527,-0.000979700560234742,0.011599910926651845,0.13126841983617427
70_0,left,6,femur_head,4.061052673311863,4.061052673311863,-0.021079850521955226,0.0009223721221636835,0.021100020577234535,0.22305795778974927
70_0,left,6,knee_inner,4.061052673311863,4.061052673311863,0.01733864621350675,-0.000758671599058102,0.017355236532884517,0.18347013472394677
70_0,left,6,ost_point,4.061052673311863,4.061052673311863,0.00024690644702428724,0.001784051635084439,0.0018010560874746843,0.01903978677491664
70_0,left,6,knee_outer,4.061052673311863,4.061052673311863,0.028897743689177916,-0.0012644526650968367,0.02892539422147419,0.30578355787324457
70_0,left,6,ankle_inner,4.061052673311863,4.061052673311863,-0.012701722913876863,-0.000341649746546592,0.012706316914441412,0.13432428141907143
70_0,left,6,ankle_outer,4.061052673311863,4.061052673311863,-0.012701722913876863,-0.000341649746546592,0.012706316914441412,0.13432428141907143
70_0,right,7,femur_head,2.153575613800587,-2.153575613800587,-0.02060544920656863,-0.0004572897820342663,0.020610522820861017,0.22499149709559557
70_0,right,7,knee_inner,2.153575613800587,-2.153575613800587,0.016976651192091755,0.0003767570920428481,0.016980831298978122,0.185368546401834
